"","log2FoldChange(DESeq2)","pValue(DESeq2)","pAdj(DESeq2)","log2FoldChange(edgeR)","pValue(edgeR)","pAdj(edgeR)","log2FoldChange(raw)","OneMinusLikelihood(baySeq)","pAdj(baySeq)","rank(DESeq)","rank(edgeR)","rank(baySeq)","rankMethod1"
"ENSG00000000003",0.644517029015957,5.49032899479655e-13,1.27147426573531e-12,-0.0564631604471158,0.58726122299704,0.619375998921627,5.35767507278517,0,7.40197715788511e-16,7795,17116,2962.5,27873.5
"ENSG00000000005",-2.63028428007099,0.000595997192734199,0.000902595748593771,-1.94331912413203,0.0583643121450771,0.0703285870664797,3.32192809488736,0.661726504671558,0.0543523488796642,11920,14981,15693,42594
"ENSG00000000419",-0.544709221374353,2.1779028241967e-18,6.00053446007307e-18,-1.27181362499109,2.01547167493413e-63,1.50968027700875e-62,4.15824359534425,8.08230961046874e-08,1.97573188929766e-09,6552,2410,8707,17669
"ENSG00000000457",-0.00492763625751087,0.939803015077541,0.946039370332893,-0.727643550093147,1.70991356047451e-17,4.29967399271289e-17,4.69064635645064,0.873553679480547,0.0995947503554731,17933,7179,16745,41857
"ENSG00000000460",0.261186549928209,0.0935768741656844,0.112669227802237,-0.46879971606083,0.00491860751064615,0.00651435823787119,4.98296784361611,0.544191759889691,0.0377109898716438,14993,13630,15229,43852
"ENSG00000000938",-0.0589200141301975,0.863961988507764,0.8773269852361,-0.243845958707053,0.51228222428661,0.546490882450177,5.15068368279234,0.000121238700577231,3.6599091255669e-06,17777,16922,10650,45349
"ENSG00000000971",0.386358056626536,1.44278597333746e-05,2.42370857907014e-05,-0.319198076061995,0.00187603926449843,0.00258264781535313,5.07626239226167,0.00194197803457097,5.98094053098847e-05,10746,13113,11618,35477
"ENSG00000001036",0.630140255437502,2.60301953965194e-16,6.72723102788787e-16,-0.0881725745463442,0.345369375110264,0.379003523373282,5.32431302070093,0,2.49488320140485e-18,6985,16450,2962.5,26397.5
"ENSG00000001084",1.15238087997182,7.36865527598651e-26,2.49052546418477e-25,0.461192883612971,0.000221511550060456,0.000323940934171828,5.87965147882229,0,0,5341,12343,2962.5,20646.5
"ENSG00000001167",1.11672561521731,1.44339430615121e-23,4.61497591474348e-23,0.357975305835483,0.000886014041205036,0.0012468292385277,5.76641028126803,0,0,5646,12828,2962.5,21436.5
"ENSG00000001460",0.772168634057208,7.44612558610195e-05,0.000119972741057044,0.087816143585073,0.662896492224732,0.692231588918891,5.4679766009226,0.00100272536945167,3.02976907788618e-05,11204,17287,11375,39866
"ENSG00000001461",0.126023653673011,0.0216243823564671,0.028185079443967,-0.59230141167553,2.68598236889023e-16,6.49094427352161e-16,4.83491679782437,0.000995092106462536,2.97863846065778e-05,13850,7470,11369,32689
"ENSG00000001497",0.112610637347765,0.0426885554615293,0.0536041877567841,-0.595383019072199,1.2165444932524e-11,2.49841424257022e-11,4.82069802625335,0.0176324990264156,0.000612445144644092,14376,8790,12595,35761
"ENSG00000001561",1.04372977807785,3.08687547353974e-15,7.7201823286699e-15,0.343026350257733,0.0151922109715287,0.0193610866542912,5.74358473200552,7.69659891375341e-11,1.81731435798219e-12,7218,14165,7295,28678
"ENSG00000001617",2.10634432366697,7.83832007300473e-84,7.58698948835825e-83,1.36371650897557,3.59285316849928e-37,1.54571461863082e-36,6.82126159781215,0,0,1865,4196,2962.5,9023.5
"ENSG00000001626",-0.22173830647371,0.178935268171462,0.201770220565384,-0.941008305735491,1.71150336865414e-08,3.08621104894063e-08,4.47173088863003,0.961553900388802,0.141332936095066,16009,10011,17646,43666
"ENSG00000001629",0.194893560862223,9.62701424729082e-05,0.0001539981047338,-0.513453007180041,3.40465965434225e-11,6.87636116359211e-11,4.90084459803448,4.12654021697545e-06,1.06052938973123e-07,11285,8938,9645,29868
"ENSG00000001630",2.9128426399455,4.58788670938979e-14,1.10221627465936e-13,2.21418530282633,1.99723670987306e-10,3.9074582298286e-10,7.64589178090756,0,0,7514,9227,2962.5,19703.5
"ENSG00000001631",-1.19098469438403,1.98098434118683e-53,1.18334643703192e-52,-1.88694496183276,2.73516945094221e-78,2.66605177799184e-77,3.50394658735827,0,0,3022,1852,2962.5,7836.5
"ENSG00000002016",-1.80647911203055,8.14749390421222e-46,4.18550256001249e-45,-2.49942342713065,1.81317956038827e-61,1.3050844267994e-60,2.93058332453442,0,0,3514,2508,2962.5,8984.5
"ENSG00000002330",0.843396103040526,3.12080154871904e-21,9.36603650165854e-21,0.114544615316437,0.328648273777372,0.361930126783134,5.55049667190662,0,0,6015,16392,2962.5,25369.5
"ENSG00000002549",0.726158859950067,7.7572278859281e-07,1.39004841966224e-06,0.0273136701921487,0.85788575112992,0.870596762853148,5.41740709202595,7.21941116038627e-05,2.02947323276259e-06,10074,17786,10462,38322
"ENSG00000002586",1.03726154750909,1.55267903551305e-38,6.9430175747044e-38,0.312043699527643,0.000408055140372364,0.000587183052531041,5.74353528052194,0,0,4037,12545,2962.5,19544.5
"ENSG00000002587",-0.0622243699113099,0.586971322475442,0.614724506197521,-0.819538505131342,8.80037955764801e-16,2.0848353251268e-15,4.6133352443491,0.000598409862931581,1.75297964423574e-05,17237,7620,11184,36041
"ENSG00000002726",1.74918226865803,0.00013192289186017,0.000208956044911801,1.06024538226786,0.018734626920912,0.0236617564665433,6.46799918533026,0.00369922803706202,0.000119941073615349,11397,14293,11885,37575
"ENSG00000002745",-0.0448870193565483,0.941579243578723,0.947640808651599,-0.876198004855414,0.136946399760205,0.158603734424278,4.58545581412685,0.803729080844448,0.0819365609222494,17936,15587,16355,49878
"ENSG00000002746",-5.40753691882849,2.96814378191764e-30,1.115572174707e-29,-6.00287354998892,4.96219650984002e-35,2.03123744661297e-34,-0.686830904945142,0,1.254932419216e-18,4803,4410,2962.5,12175.5
"ENSG00000002822",0.905238004576706,1.9124877772345e-12,4.33056986942596e-12,0.164064316851852,0.239424626412776,0.269339649529721,5.61650781751391,4.31441549153533e-11,1.08713680122592e-12,7972,16047,7199.5,31218.5
"ENSG00000002834",3.65997453798477,1.61339139982482e-266,1.03279934573183e-264,2.91280369852154,9.44280066725382e-171,3.24071174230544e-169,8.33791722739919,0,0,282,526,2962.5,3770.5
"ENSG00000002919",0.586379558766894,1.95319038276578e-10,4.10226792201138e-10,-0.163491143641012,0.0867322280063239,0.102695144954097,5.2711290043748,1.60184754349757e-10,4.10241021403091e-12,8595,15246,7444,31285
"ENSG00000002933",-1.0705002416062,1.18592485878095e-05,2.00077715427231e-05,-1.81768796883749,5.67247811814492e-14,1.26857748994985e-13,3.55754130954643,0.00758810058145809,0.000266294852829015,10700,8072,12213,30985
"ENSG00000003056",2.1122926008016,3.37966141105815e-213,1.40575225328161e-211,1.40440407272804,4.72128764253293e-48,2.59685205737369e-47,6.81229737487645,0,0,434,3282,2962.5,6678.5
"ENSG00000003096",0.0279706619516396,0.916577140309654,0.924877056281156,-0.644578134282573,0.0184292776031422,0.0232923979060368,4.77379494281236,0.6254172497356,0.0492046662534906,17890,14283,15557,47730
"ENSG00000003137",-0.00436024980721057,0.987283442923072,0.988776053759593,-0.774520833569329,0.00384575401989037,0.00517391202616344,4.69007920653537,0.934371937910313,0.129313390804066,18024,13418,17387,48829
"ENSG00000003147",-0.790583842105818,4.59860215874491e-20,1.33334349774595e-19,-1.49828609594272,2.34265042760446e-47,1.26995572129476e-46,3.909660627218,7.10940639692126e-10,1.76735468652565e-11,6226,3330,7733,17289
"ENSG00000003249",1.61771954816784,6.39459132797622e-29,2.32217184978127e-28,0.880711815317234,1.20519382984122e-08,2.18852821811626e-08,6.28023126335909,0,0,4971,9941,2962.5,17874.5
"ENSG00000003393",0.314474328537104,1.29342936758736e-06,2.29564319572185e-06,-0.396879625710743,1.15969368748551e-05,1.83509733927843e-05,5.01123407981164,2.07680839192648e-08,5.17328782298815e-10,10171,11408,8419,29998
"ENSG00000003400",-0.0269525617078859,0.798579138885879,0.817555187158616,-0.745701915705484,1.66431841844428e-10,3.26568218366914e-10,4.65560966561409,0.959955716281386,0.140635719548835,17633,9200,17631,44464
"ENSG00000003402",-0.2154751256912,0.0344257647487173,0.0437581963979612,-0.990382147577629,1.80558896316498e-35,7.46894866247804e-35,4.41894202747264,0.00124202283579755,3.74172929049049e-05,14202,4364,11449,30015
"ENSG00000003436",-1.80724032069787,9.2678718941847e-27,3.20075805306719e-26,-2.52833160630373,1.45761246595999e-48,8.12124081342893e-48,2.88841133576833,0,0,5227,3240,2962.5,11429.5
"ENSG00000003509",-0.534170138652462,3.13336735550046e-12,7.04490565468854e-12,-1.23611064096821,3.3773978321286e-30,1.21961963723916e-29,4.16705870105363,6.30060072343008e-05,1.74098275922664e-06,8029,4999,10416,23444
"ENSG00000003756",-0.560519699039763,2.24359956057294e-09,4.51571627466415e-09,-1.27311720408942,8.65580042473207e-35,3.52639379975769e-34,4.11953957391207,2.09941516859935e-06,5.29952082410565e-08,8969,4431,9471,22871
"ENSG00000003987",-0.430472089228098,0.015637314448806,0.0207379371458893,-1.11838445993696,2.48021843254338e-08,4.44087513829331e-08,4.29805783565198,0.60876192364707,0.0471188130654496,13612,10082,15500,39194
"ENSG00000003989",1.25458731297341,0.000424021333132161,0.000649892435532499,0.603284673243429,0.0897124307534776,0.106105536261664,5.97500265927259,0.0821501158444374,0.00306234697658592,11778,15263,13370,40411
"ENSG00000004059",3.14088296100095,5.77630166404668e-206,2.26190450410782e-204,2.3948060046879,4.62440122172532e-129,9.41146458338056e-128,7.83078598221568,0,0,461,887,2962.5,4310.5
"ENSG00000004139",2.24916176245915,4.24712670954653e-31,1.62987098981152e-30,1.55727731904633,1.55627677557586e-13,3.42775846177347e-13,6.9544238197118,0,0,4704,8196,2962.5,15862.5
"ENSG00000004142",1.44837766548107,1.97194686017414e-87,1.99874142166556e-86,0.712716275430211,1.585573974095e-19,4.24418466494113e-19,6.15842822334945,0,0,1781,6744,2962.5,11487.5
"ENSG00000004399",1.08270726235959,1.15401570289481e-09,2.34756496153449e-09,0.328126397502275,0.0644854759348964,0.0773791419553809,5.73082949740572,5.14964066722357e-07,1.33406288184511e-08,8874,15044,9143,33061
"ENSG00000004455",0.239767745324478,2.19414611974966e-05,3.64654076171247e-05,-0.487972989505003,2.19623276829116e-12,4.63273239140863e-12,4.95520770079808,8.55503262897628e-07,2.13861345295711e-08,10862,8557,9257,28676
"ENSG00000004468",-0.315268147572948,0.283592711386296,0.311684360788153,-0.989146608031934,0.00058996979983146,0.000839783537814029,4.37695542573392,0.792882605426925,0.0795182983848861,16425,12682,16300,45407
"ENSG00000004478",1.57700645077908,9.65225998269031e-48,5.16121437226082e-47,0.840257076990794,5.27587591330916e-14,1.18163910653917e-13,6.26215172451301,0,0,3376,8060,2962.5,14398.5
"ENSG00000004487",1.34276248229741,1.89404809993271e-109,2.59615461655166e-108,0.635953691908171,4.66970240338052e-13,1.00967143113936e-12,6.05290455572152,0,0,1317,8349,2962.5,12628.5
"ENSG00000004534",-0.776345919206359,2.84128046000006e-24,9.24158466016597e-24,-1.48278221723376,6.18160036674466e-56,3.98394322814976e-55,3.92129351234343,2.5750068743946e-11,6.43602946837446e-13,5550,2801,7102,15453
