"allgenes.Sample" "allgenes.Score" "allgenes.Class" "perturbedgenes.Sample" "perturbedgenes.Score" "perturbedgenes.Class"
"AH_024_016.NC" 0.0241469664071605 "Children" "AH_024_016.NC" 0.0226697320551002 "Children"
"AH_024_017.NC" 0.0701773593460115 "Children" "AH_024_017.NC" 0.0430699932553366 "Children"
"AH_024_018.NC" 0.0926392745089034 "Children" "AH_024_018.NC" 0.0661993260277488 "Children"
"AH_024_019.NC" 0.0235468148704189 "Children" "AH_024_019.NC" 0.0222374035856354 "Children"
"AH_024_021.NC" 0.381896799233706 "Children" "AH_024_021.NC" 0.499979051456178 "Children"
"AH_024_022.NC" 0.0485235626999892 "Children" "AH_024_022.NC" 0.0269861995193786 "Children"
"AH_024_023.NC" 0.172369601832943 "Children" "AH_024_023.NC" 0.219479077996139 "Children"
"AH_024_025.NC" 0.0866963267203509 "Children" "AH_024_025.NC" 0.0413732703150258 "Children"
"AH_024_026.NC" 0.114792233319686 "Children" "AH_024_026.NC" 0.117036280630744 "Children"
"AH_024_027.NC" 0.0374081564533772 "Children" "AH_024_027.NC" 0.0241463134792753 "Children"
"AH_024_028.NC" 0.236622076834154 "Children" "AH_024_028.NC" 0.217101121213885 "Children"
"AH_024_029.NC" 0.135239389548882 "Children" "AH_024_029.NC" 0.197254008779223 "Children"
"AH_024_030.NC" 0.13058561644047 "Children" "AH_024_030.NC" 0.114328039661976 "Children"
"AH_024_031.NC" 0.0235719980045029 "Children" "AH_024_031.NC" 0.0184973447279876 "Children"
"AH_024_032.NC" 0.242698332964788 "Children" "AH_024_032.NC" 0.1477200881959 "Children"
"AH_024_034.NC" 0.0560139263251137 "Children" "AH_024_034.NC" 0.0456312479682169 "Children"
"AH_024_035.NC" 0.124616972318999 "Children" "AH_024_035.NC" 0.0826956737015655 "Children"
"AH_024_036.NC" 0.0254594443331388 "Children" "AH_024_036.NC" 0.0300679632798975 "Children"
"AH_024_037.NC" 0.0971484878041899 "Children" "AH_024_037.NC" 0.135498901553573 "Children"
"AH_024_038.NC" 0.228270490993462 "Children" "AH_024_038.NC" 0.306688140540166 "Children"
"AH_024_039.NC" 0.02500591984924 "Children" "AH_024_039.NC" 0.0232370537196436 "Children"
"AH_024_040.NC" 0.0530413905755529 "Children" "AH_024_040.NC" 0.043122943815722 "Children"
"AH_024_041.NC" 0.232376755694503 "Children" "AH_024_041.NC" 0.231921950541775 "Children"
"AH_024_042.NC" 0.342588148686582 "Children" "AH_024_042.NC" 0.279507402344448 "Children"
"AH_024_044.NC" 0.0717929020717223 "Children" "AH_024_044.NC" 0.100765841126066 "Children"
"AH_024_045.NC" 0.0255613332191727 "Children" "AH_024_045.NC" 0.0191715491265549 "Children"
"AH_024_047.NC" 0.067243101586025 "Children" "AH_024_047.NC" 0.0387677133127784 "Children"
"AH_024_049.NC" 0.0324827380228603 "Children" "AH_024_049.NC" 0.022318792245074 "Children"
